Dog_Name,Breed,Zip
FIONA,TERVUREN,02421
WYATT,TERVUREN,02421
ELLIE,RETRIEVER LABRADOR MIX,02421
RILEY,BEAGLE,02420
PEPPER,HOUND MIX,02420
BELLA,MALTESE,02420
STEFANIE,BULLDOG FRENCH,02421
MAGGIE,RETRIEVER GOLDEN,02420
KIKI,TERRIER WEST HIGHLAND,02420
JAX,TERRIER WEST HIGHLAND,02420
LUNA,GOLDENDOODLE,02421
CHLOE,LABRADOODLE,02421
MANOLETTE,GALGO,02421
MARILYN,GALGO,02421
CALVIN,LABRADOR MIX,02421
COOKIE,CHIHUAHUA,02420
FLASH,CHIHUAHUA SMOOTH,02421
JUNEAU,MIX,02421
SASSY,GOLDENDOODLE MINI,02421
LEXI,LABRADOR MIX,02421
TITO,CHIHUAHUA MIX,02421
JUNO,COCKAPOO,02420
FREDDY,POODLE MINI,02420
JENKINS,RETRIEVER LABRADOR,02420
DOUGAL,TERRIER CAIRN,02420
CHARLOTTE,TERRIER YORKSHIRE MIX,02421
ALEXIE,HUSKY,02421
BOWIE,HUSKY MIX,02421
NIKKI,HUSKY,02421
JADEN,SHEEPDOG SHETLAND,02421
JEDI,SHEEPDOG SHETLAND,02421
FREYJA,HUSKY SIBERIAN,02421
HOMER,RETRIEVER GOLDEN MIX,02421
MURRAY,PORTUGUESE WATER DOG,02421
SOLO,BRIARD,02421
COOPER,SHEPHERD AUSTRALIAN MIX,02420
ROONEY,RETRIEVER GOLDEN,02421
GINGER,RETRIEVER MIX,02420
BENTLEY,BULLDOG FRENCH,02421
KIVA,RETRIEVER LABRADOR,02421
MOMO,TERRIER BOSTON,02421
JACKIE,TERRIER JACK RUSSELL,02420
HAYDN,COCKAPOO,02421
PEPPER,POODLE MIX,02420
SKIPPER,RETRIEVER GOLDEN,02421
ABBY,TERRIER WELSH,02421
TEDDY,TERRIER WELSH,02421
ZOE,GOLDEN CORGI,02420
CALI,CHIHUAHUA MIX,02421
AMA,SATO,02420
GINGER,SCHNOODLE,02421
FRISCO,RETRIEVER GOLDEN,02421
MONROE,SPANIEL COCKER MIX,02420
HOLLY,MALTIPOO,02420
PERCY,BICHON FRISE,02421
GABBY,LABRADOR,02420
PUMPKIN,MALTESE,02420
PJ,MALTESE,02420
BAUER,RETRIEVER LABRADOR,02420
TOMMY,LAB COLLIE MIX,02420
WINSTON,SPANIEL CLUMBER,02421
SAM,COLLIE BORDER,02421
ROXY,PIT BULL,02421
TUCKER,RETRIEVER GOLDEN,02421
FINLEY,CAVAPOO,02421
CROSBY,SPANIEL CAVALIER  KING CHARLES,02421
MAGGIE,PUG,02420
PARKER,RETRIEVER GOLDEN MIX,02420
LULU,MIX,02421
