Dog_Name,Breed
BELLA,MALTESE
STEFANIE,BULLDOG FRENCH
MAGGIE,RETRIEVER GOLDEN
KIKI,TERRIER WEST HIGHLAND
JAX,TERRIER WEST HIGHLAND
LUNA,GOLDENDOODLE
CHLOE,LABRADOODLE
MANOLETTE,GALGO
MARILYN,GALGO
CALVIN,LABRADOR MIX
COOKIE,CHIHUAHUA
FLASH,CHIHUAHUA SMOOTH
JUNEAU,MIX
SASSY,GOLDENDOODLE MINI
LEXI,LABRADOR MIX
TITO,CHIHUAHUA MIX
JUNO,COCKAPOO
FREDDY,POODLE MINI
JENKINS,RETRIEVER LABRADOR
DOUGAL,TERRIER CAIRN
CHARLOTTE,TERRIER YORKSHIRE MIX
ALEXIE,HUSKY
BOWIE,HUSKY MIX
NIKKI,HUSKY
JADEN,SHEEPDOG SHETLAND
JEDI,SHEEPDOG SHETLAND
FREYJA,HUSKY SIBERIAN
HOMER,RETRIEVER GOLDEN MIX
MURRAY,PORTUGUESE WATER DOG
SOLO,BRIARD
COOPER,SHEPHERD AUSTRALIAN MIX
ROONEY,RETRIEVER GOLDEN
GINGER,RETRIEVER MIX
BENTLEY,BULLDOG FRENCH
KIVA,RETRIEVER LABRADOR
MOMO,TERRIER BOSTON
JACKIE,TERRIER JACK RUSSELL
HAYDN,COCKAPOO
PEPPER,POODLE MIX
SKIPPER,RETRIEVER GOLDEN
ABBY,TERRIER WELSH
TEDDY,TERRIER WELSH
ZOE,GOLDEN CORGI
CALI,CHIHUAHUA MIX
AMA,SATO
GINGER,SCHNOODLE
FRISCO,RETRIEVER GOLDEN
MONROE,SPANIEL COCKER MIX
HOLLY,MALTIPOO
PERCY,BICHON FRISE
GABBY,LABRADOR
PUMPKIN,MALTESE
PJ,MALTESE
BAUER,RETRIEVER LABRADOR
TOMMY,LAB COLLIE MIX
WINSTON,SPANIEL CLUMBER
SAM,COLLIE BORDER
ROXY,PIT BULL
TUCKER,RETRIEVER GOLDEN
FINLEY,CAVAPOO
CROSBY,SPANIEL CAVALIER  KING CHARLES
MAGGIE,PUG
PARKER,RETRIEVER GOLDEN MIX
LULU,MIX
AMY,BOXER MIX
OSCAR,LAB/PIT MIX
ROXIE,RETRIEVER ENGLISH LABRADOR
MADDIE,POODLE TOY
GUS,BEAGLE
JOLIE,HAVANESE
CUBBY,TERRIER YORKSHIRE
KORO,SHIBA INU
RAPHAEL,NEWFOUNDLAND
SUMMER,LABRADOR MIX
DENVER,RETRIEVER LAB MIX
LEXIE,MIX
MEEKO,MIX
BODIE BAREFOOT,LABRADOODLE
LEXIE,HAVANESE
WILLOW,ITALIAN SPINONE
TOMMY,COLLIE BORDER MIX
CHARLIE,RETRIEVER LABRADOR
SCOUT,RETRIEVER FLAT COATED
BAILEY,BEAGLE MIX
MONTIE,MALTESE
ALFRED,COTON DE TULEAR
JOSEPH,COTON DE TULEAR
GENEVIEVE,BASSET
LEXI,LABRADOODLE
HOLLY,POODLE MINI
ATHENA,TERRIER WEST HIGHLAND
DAISY,RETRIEVER LABRADOR
PEBBLES,SPANIEL CAVALIER  KING CHARLES
BUDDY,SPANIEL CAVALIER  KING CHARLES
RILEY,TERRIER YORKSHIRE
LILA,SCHNAUZER MINI
SPENCER,MIX
LEO,LHASA APSO MIX
SAMMY,RETRIEVER MIX
CODY,MIX
TUCKER,RETRIEVER GOLDEN
LEO,HAVANESE
LUNA,GOLDENDOODLE
SHADOW,GOLDENDOODLE MINI
NYXIE,RETRIEVER GOLDEN
CECE,TERRIER RAT
GARY,PEKINGESE
SAMMY,RETRIEVER GOLDEN
LOGAN,SPANIEL CAVALIER  KING CHARLES
CASPER,BICHON FRISE
KATE,RETRIEVER GOLDEN
PEPPER,PORTUGUESE WATER DOG
SUNDAE,HAVAPOO
BOO,TERRIER BOSTON
CLOVER,DACHSHUND MIX
ROSIE,SHEPHERD GERMAN MIX
JAKE,CORGI
MOLLY,CORGI
SAM,LAB/BOXER MIX
WILLOW,SPANIEL BRITTANY MIX
BELLA,POINTER MIX
SMUDGE,COLLIE
ATTILA,MASTIFF FRENCH MIX
ZOE,COCKAPOO
BUDI,MALTESE
KODI,RETRIEVER GOLDEN
TUCKER,RETRIEVER GOLDEN
ZUZU,GOLDENDOODLE
WOOKIE,DORKIE
PIPPY,MALTESE
RUDY,SHEPHERD GERMAN
SCARLET,MALTIPOO
FELIX,LABRADOODLE
WELLINGTON,SCHNAUZER MINI
KODI,RETRIEVER LABRADOR
GRACIE,RETRIEVER LAB MIX
TUCKER,SHIH-TZU
JACK,TERRIER MIX
GABBY,LABRADOODLE
SPYDER,WHIPPET
POE,WHIPPET
FEZZIK,MIX
MENDEL,RETRIEVER GOLDEN
OREO JUNO,TERRIER BOSTON
ZIGGY,LABRADOODLE
AMBER,RETRIEVER GOLDEN
NELLY,GOLDENDOODLE
GRIZZLY,GOLDENDOODLE
BEAR,GOLDENDOODLE
ROTOR,POODLE MIX
WIMSEY,LABRADOR
SHINY,LABRADOR
DJANGO,AUSTRALIAN LABRADOODLE
JOIE,AUSTRALIAN LABRADOODLE
CHASE,COLLIE BORDER MIX
JETER,NEWFOUNDLAND
JACKSON,TERRIER JACK RUSSELL MIX
BRANDY,CAVACHON
RUDY,SAMOYED
REESE,GOLDENDOODLE
MAXWELL,POODLE
AGGIE,RETRIEVER GOLDEN
LOUIS AKA LOUIE,CHIHUAHUA MIX
MILLIE,RETRIEVER LABRADOR
EMMETT,CORGI MIX
PAYSLEIGH,GOLDENDOODLE
TEDDY,BICHON FRISE
CELLA,WELSH CORGI
VICTOR,WELSH CORGI
LUNA,RETRIEVER GOLDEN
MOZART,MALTESE
BELLE SUNSHINE,LABRADOODLE
CHARLEY,POODLE
SAM,POODLE TOY
OLLIE,MIX
OBIE,MALTESE MIX
BAILEY,RETRIEVER GOLDEN
MARLEY,LABRADOR MIX
ROSCOE,SPANIEL TIBETAN
NELLIE,MIX
LUCY,MIX
RILEY,RETRIEVER LABRADOR
AVA,GREAT PYRENEES MIX
FINN,BULLDOG OLD ENGLISH
BLAZE,NEWFOUNDLAND
BRIO,GOLDENDOODLE MINI
TOY,LHASA APSO MIX
JAVA,LABRADOR
AUGIE,MALTESE POODLE MIX
TATE,TERRIER JACK RUSSELL MIX
NUGGET,SPANIEL COCKER MIX
ISLA,RETRIEVER GOLDEN
COCO,AUSTRALIAN LABRADOODLE
DUKE,MALTIPOO
JACKIE,WHIPPET LAB
TUCKER,TERRIER AUSTRALIAN MIX
NELLIE,VIZSLA
SAGE,TERRIER TIBETAN
COOKIE,RETRIEVER GOLDEN
NUTMEG,CORGI MIX
BLACKIE,DACHSHUND
MARTY,TERRIER WEST HIGHLAND
IZZIE,HAVANESE
BENJAMIN,RETRIEVER GOLDEN
JOY,PORTUGUESE WATER DOG
CHORONG,POODLE
BERRY,PEKAPOO
LUCY,BEAGLE
LEXIE,POODLE TOY
FIG NEWTON,TERRIER JACK RUSSELL
MORGAN LEFAYE,MIX
THEO,COCKAPOO
GINGER,VIZSLA
REGGIE THE WONDER DOG,RETRIEVER GOLDEN
DUKE,BOXER MIX
EDDIE,TERRIER YORKSHIRE
CANDIE,YORKIE MIX
VIOLET,TERRIER YORKSHIRE
CADDIE,POODLE MIX
CLIFFORD,LABRADOODLE
VESPA,LABRADOR MIX
SCUTO,LABRADOR MIX
ZOEY,DACHSHUND MIX
SNOWY,
JOEY,CHIHUAHUA MIX
ROXY,LABRADOR MIX
BEAR,RETRIEVER LABRADOR
DEE 2,TERRIER WEST HIGHLAND
BRADY,HAVANESE
KAI,COCKAPOO
SAGO,SCHNOODLE
LUNA,LAB MIX
TEDDY,CATAHOULA MIX
BELLI,MIX
FIONA,PUG
LOUIE,COCKAPOO
MR BEAR,CHIHUAHUA
STAR,BOXER MIX
JOEY,SHETLAND SHEEP
DAKOTA,HUSKY
LEXXI,DACHSHUND MIX
CODY,LABRADOODLE
CARMEL,GREAT PYRENEES MIX
BRONZINO,POODLE STANDARD
LULU,PORTUGUESE WATER DOG
INDY,PORTUGUESE WATER DOG
TESSIE,COCKAPOO
SCAMP,LABRADOODLE MIX
CHOUNG CHOUNG,PEKINGESE
DA DA,PEKINGESE
PEDRO,SCHNAUZER MINI
AMY,RETRIEVER LABRADOR
MAX,POMERANIAN MIX
BELLE,TERRIER CAIRN
BAXTER,SPANIEL CAVALIER  KING CHARLES
TOBY II,SPANIEL COCKER
SCOUT,RETRIEVER LABRADOR
KASPER,BICHON FRISE
MARIAH,PUGGLE
JACK,RETRIEVER GOLDEN
SQUEAKY,BEAGLE MIX
ASHLEY,COONHOUND BLUE TICK
MAISIE,COONHOUND BLUE TICK
KUMA,LABRADOR
COSMO,AUSTRALIAN LABRADOODLE
OSCAR,LABRADOODLE
BELLA,TERRIER TIBETAN
COSMO,POINTER GERMAN SHORTHAIR
LIBBY,GOLDENDOODLE
VIVI,COTON DE TULEAR
CLADDAGH,RETRIEVER LABRADOR
BO,LABRADOR MIX
MACY,MIX
RUFUS,SHEPHERD MIX
MAHO,GOLDENDOODLE
TUCKER,TERRIER TIBETAN
JASPER,
BRADY,COTON DE TULEAR
BEAU,RETRIEVER GOLDEN
LEXI,COCKAPOO
MAYA,RETRIEVER GOLDEN
MOLLY,LABRADOODLE
LUCCA,SETTER ENGLISH
GUS,RETRIEVER LABRADOR
HANK,RETRIEVER LABRADOR
CUPCAKE,CAVACHON
MICCO,CHINOOK
KODA,RETRIEVER GOLDEN
SULLIVAN,YORKIE POO
EVA,SPANIEL COCKER MIX
HAPPY,BEAGLE
GAVIN,RETRIEVER GOLDEN
DES,TERRIER AMERICAN STAFFORSHIRE MIX
KAYA,LABRADOR MIX
MILO,BICHON FRISE
LACY,RETRIEVER MIX
HENRY,RETRIEVER LABRADOR
DAKOTA,RETRIEVER LABRADOR
CHEWIE,SHIH-TZU
STELLA,BEAGLE
ONYX,LAB/HOUND MIX
SAM,BOXER
TARA,RETRIEVER LAB MIX
BERTRAM,POODLE STANDARD
TUCKER,CAVAPOO
PEPPER,LABRADOR MIX
SCOUT,COLLIE BORDER
CILLY,BICHON FRISE
FLORA,CORGI PEMBROKE WELSH
BAILEY,LABRADOODLE
CODY,RETRIEVER LABRADOR
STORMIE,MIX
ZIGGY,POODLE STANDARD
LADY,PIT BULL MIX
KOA,LABRADOODLE
CHOCOLATE,SPANIEL CAVALIER  KING CHARLES
MAX,TERRIER BRAZILIAN
PRINCE,TERRIER WEST HIGHLAND
JADE,CATAHOULA MIX
PAXTON,CATAHOULA MIX
MARTA,WATERDOG SPANISH
SAGE,AUSTRALIAN COBBERDOG
LUCY,LABRADOODLE
SANDY,RETRIEVER GOLDEN
SHIWA,COCKAPOO
HAZEL,RETRIEVER GOLDEN
SADIE,HOUND MIX
PERCY,MALTESE
NIKKI,MIX
HERO,CHIHUAHUA LONG COAT
VINNIE,LABRADOODLE
TESSA,BEAGLE
COPPER,BEAGLE
BANDIT,COLLIE MIX
JINXY,PUG
BLUE,RETRIEVER GOLDEN
MUZZY,LABRADOODLE
JUNO,RETRIEVER LAB MIX
GATSBY,WHIPPET
BLU,COCKAPOO
FINLEY,LABRADOODLE
BELLA,SHIH-TZU MIX
BAILEY,MALTIPOO
GIGI,DACHSHUND L.H.
BARLEY,DACHSHUND
